"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR009","DHMR010","DHMR011","DHMR012"
"Apoa1",0,2,4,5,1,2,5,0
"Apoa1bp",1129,2269,2476,2292,2074,2170,2183,2016
"Apoa2",0,2,1,1,2,1,0,1
"Apoa5",0,2,2,2,3,2,4,8
"Apob",2,7,3,2,2,4,3,3
"Apobec1",264,444,561,631,539,549,751,826
"Apobec2",951,1693,2403,1721,1848,1682,1184,1425
"Apobec3",669,1015,1079,1186,1019,989,1088,1038
"Apobr",73,158,138,146,176,185,275,281
"Apoc1",2,6,16,5,5,3,9,10
"Apod",56,108,149,109,126,121,67,66
"Apoe",509,1572,1212,898,1432,1823,1947,1662
"Apof",1,3,4,2,2,5,6,4
"Apoh",12,15,20,21,18,16,10,14
"Apol10b",522,610,806,863,672,316,276,637
"Apol11b",9,6,12,17,8,6,5,14
"Apol6",110,155,119,160,171,94,82,139
"Apol7a",13,40,28,23,43,41,31,31
"Apol7d",2,12,7,8,12,11,7,11
"Apol8",16,47,22,30,43,44,42,45
"Apol9a",352,539,273,409,673,476,380,360
"Apol9b",462,667,393,540,742,609,445,526
"Apold1",4,22,12,12,14,17,17,24
"Apom",6,5,0,5,7,6,11,5
"Apon",4,3,4,7,1,1,6,5
"Apoo",173,105,115,126,125,104,94,108
"Apool",653,1262,1399,1280,1382,1234,1081,1279
"Apopt1",667,1087,1271,1096,1092,1148,1163,1164
"App",16702,30380,29281,31267,32060,33187,30779,29975
"Appbp2",641,1318,1163,1262,1317,1193,1116,1185
"Appbp2os",0,6,8,1,5,5,6,9
"Appl1",792,2364,1270,1824,1893,1983,1605,1692
"Appl2",728,1896,1595,1548,2038,2483,2512,1997
"Aprt",1386,2703,2919,2701,2603,2780,2888,2826
"Aptx",640,1136,1260,1207,1214,1174,1196,1285
"Aqp1",1676,4376,3083,3302,4247,4363,4576,3317
"Aqp11",11,10,21,19,12,15,5,9
"Aqp2",1,9,16,5,8,6,9,7
"Aqp3",0,0,1,1,1,1,3,1
"Aqp5",3819,7833,8409,7156,7043,8106,8684,7794
"Aqp7",1,0,1,1,0,1,0,0
"Aqp9",0,0,2,1,1,8,10,8
"Aqr",1649,3063,3158,3331,3284,3007,3034,3249
"Ar",69,163,65,116,154,168,126,100
"Araf",1785,3644,3703,3565,3833,4030,3809,3657
"Arap1",1202,2331,2195,2238,2275,2325,2223,2017
"Arap2",28,78,42,65,50,71,56,87
"Arap3",95,172,150,173,147,134,127,96
"Arc",70,73,100,111,102,49,37,79
